index,budget_category,name,genre1,rating,country_code,nominations,accolades,decade,runtime,months,profit,score,budget,nature_profit,genre2,female_count,genre3
4895,1,Jude,drama,r,GBR,0.41732584127791733,1.0,1990,123.0,Oct,0.05470296651309182,7.0,15.761420707019587,-1,romance,1.0,nan
4896,3,Extreme Measures,crime,r,GBR,0.0,4.0,1990,118.0,Sep,0.049635431996365595,6.2,17.45309671769066,-1,drama,1.0,mystery
4897,0,Walking and Talking,comedy,r,GBR,0.30629697992576166,0.0,1990,86.0,Jul,0.05718754562601622,6.7,13.815510557964274,1,drama,3.0,romance
4898,3,The Stupids,adventure,pg,GBR,0.36602106237266546,0.0,1990,94.0,Aug,0.04895340283225676,4.2,17.034386382832476,-1,comedy,1.0,nan
4899,1,The Full Monty,comedy,r,GBR,0.6923700000142773,0.0,1990,91.0,Sep,0.14899153514073618,7.2,15.068273526459642,1,drama,0.0,nan
4900,4,Event Horizon,horror,r,GBR,0.161823075755491,0.0,1990,96.0,Aug,0.045045688179137996,6.6,17.909855120186375,-1,sci-fi,1.0,thriller
4901,4,Tomorrow Never Dies,action,pg-13,GBR,0.4618511218824447,0.0,1990,119.0,Dec,0.13763932563507378,6.5,18.51599092375669,1,adventure,1.0,thriller
4902,3,The Borrowers,adventure,pg,GBR,0.23706652102292547,0.0,1990,89.0,Feb,0.054778983045494334,5.8,17.182806387950748,-1,comedy,0.0,family
4903,2,Bean,adventure,pg-13,GBR,0.23706652102292547,3.0,1990,89.0,Nov,0.14132432841010073,6.5,16.70588231586044,1,comedy,0.0,family
4904,3,An American Werewolf in Paris,comedy,r,GBR,0.28662811140198874,0.0,1990,98.0,Dec,0.05765098224266843,5.1,17.034386382832476,1,fantasy,1.0,horror
4905,3,Spice World,comedy,pg,GBR,0.4257451448195692,0.0,1990,93.0,Jan,0.058652325272687905,3.6,17.034386382832476,1,family,3.0,music
4906,1,Wilde,biography,r,GBR,0.41732584127791733,1.0,1990,118.0,May,0.0542513106619022,6.9,16.11809565095832,-1,drama,1.0,romance
4907,2,A Life Less Ordinary,comedy,r,GBR,0.20419798661717445,1.0,1990,103.0,Oct,0.05432642487161735,6.3,16.300417207752275,-1,crime,2.0,fantasy
4908,3,Fierce Creatures,comedy,pg-13,GBR,0.0,5.0,1990,93.0,Jan,0.05144193186455118,6.4,17.034386382832476,-1,nan,1.0,nan
4909,1,Lawn Dogs,drama,r,GBR,0.43370912277044016,0.0,1990,101.0,May,0.054232393311437935,7.5,15.89495209964411,-1,nan,2.0,nan
4911,4,Ronin,action,r,GBR,0.23706652102292547,10.0,1990,122.0,Sep,0.05224925492735943,7.3,17.822843743196746,-1,crime,1.0,thriller
