,primaryName,birthYear,deathYear,primaryProfession
546,Alfred Molina,1953,\N,"actor,producer,soundtrack"
548,Roger Moore,1927,2017,"actor,miscellaneous,producer"
550,Dermot Mulroney,1963,\N,"actor,soundtrack,music_department"
551,Eddie Murphy,1961,\N,"actor,writer,producer"
552,Liam Neeson,1952,\N,"actor,soundtrack,producer"
553,Sam Neill,1947,\N,"actor,producer,director"
554,Judd Nelson,1959,\N,"actor,writer,producer"
555,Olivia Newton-John,1948,\N,"soundtrack,actress,music_department"
556,Brigitte Nielsen,1963,\N,"actress,soundtrack,producer"
557,Leslie Nielsen,1926,2010,"actor,producer,soundtrack"
558,Leonard Nimoy,1931,2015,"actor,director,producer"
559,Nick Nolte,1941,\N,"actor,producer"
561,Jeremy Northam,1961,\N,"actor,soundtrack"
562,Chris O'Donnell,1970,\N,"actor,producer,director"
563,Peter O'Toole,1932,2013,"actor,soundtrack,producer"
564,Lena Olin,1955,\N,actress
565,Julia Ormond,1965,\N,"actress,producer"
567,Frank Oz,1944,\N,"actor,miscellaneous,soundtrack"
568,Gwyneth Paltrow,1972,\N,"actress,soundtrack,producer"
570,Mary-Louise Parker,1964,\N,"actress,soundtrack,miscellaneous"
571,Sarah Jessica Parker,1965,\N,"actress,producer,miscellaneous"
572,Dolly Parton,1946,\N,"soundtrack,music_department,actress"
573,Jason Patric,1966,\N,"actor,producer"
574,Alexandra Paul,1963,\N,"actress,producer,writer"
575,Sean Penn,1960,\N,"actor,director,producer"
576,George Peppard,1928,1994,"actor,assistant_director,soundtrack"
577,Anthony Perkins,1932,1992,"actor,soundtrack,director"
578,Ron Perlman,1950,\N,"actor,producer,soundtrack"
579,Luke Perry,1966,2019,"actor,producer,soundtrack"
581,Joe Pesci,1943,\N,"actor,soundtrack"
583,Amanda Peterson,1971,2015,actress
585,Jada Pinkett Smith,1971,\N,"producer,actress,writer"
586,Donald Pleasence,1919,1995,"actor,writer,soundtrack"
587,Martha Plimpton,1970,\N,"actress,soundtrack,writer"
590,Roman Polanski,1933,\N,"director,actor,writer"
591,Pete Postlethwaite,1946,2011,"actor,producer"
592,Kelly Preston,1962,2020,"actress,soundtrack"
593,Jason Priestley,1969,\N,"actor,producer,director"
595,Jonathan Pryce,1947,\N,"actor,soundtrack,producer"
596,Bill Pullman,1953,\N,"actor,director,soundtrack"
597,Dennis Quaid,1954,\N,"actor,producer,soundtrack"
598,Kathleen Quinlan,1954,\N,"actress,producer,director"
600,Harold Ramis,1944,2014,"writer,actor,producer"
601,Robert Redford,1936,\N,"producer,actor,director"
602,Vanessa Redgrave,1937,\N,"actress,soundtrack,producer"
603,John C. Reilly,1965,\N,"actor,writer,producer"
604,Brad Renfro,1982,2008,"actor,soundtrack,writer"
605,Jean Reno,1948,\N,actor
606,Paul Reubens,1952,\N,"actor,writer,soundtrack"
607,Burt Reynolds,1936,2018,"actor,director,producer"
608,Ving Rhames,1959,\N,"actor,producer,writer"
609,Giovanni Ribisi,1974,\N,"actor,producer,cinematographer"
610,Ariana Richards,1979,\N,actress
611,Denise Richards,1971,\N,"actress,producer,soundtrack"
612,Joely Richardson,1965,\N,"actress,producer,soundtrack"
613,Alan Rickman,1946,2016,"actor,soundtrack,writer"
614,John Ritter,1948,2003,"actor,producer,soundtrack"
615,Eric Roberts,1956,\N,"actor,producer,soundtrack"
616,Tanya Roberts,1949,2021,"actress,producer"
617,Isabella Rossellini,1952,\N,"actress,director,writer"
